Restaurant_Name,Recommendations_content
Bagel Palace Deli,"[""Mo's Bagels & Deli"", 'The Oaks Golf Club Cafe', ""Nancy's Good N Fast"", 'B&B kitchen', 'Rodilla', 'Mercedes Coffee Shop', 'Tunisian Sweet and Coffee', 'La Ideal Sandwich Shop', ""Granpappy's"", ""Charlie's Café at Rosemary""]"
Bahama Breeze,"[""Eddie V's Prime Seafood"", 'Wahoo Seafood Grill', 'Hard Rock Cafe', 'Chart House', ""Tapatio's Restaurante Mexicano"", ""Whiskey Joe's Bar & Grill - Manatee River"", 'CVI.CHE 105', ""Captain Bill's Oyster Bar"", ""Cheddar's Scratch Kitchen"", 'Outpost Kitchen, Bar, & Provisions']"
Bahia Bowls Boynton Beach,"['Cafe Vecino and Kiosk Maitland', 'Green Leaf Kitchen', 'Metro Deli & Cafe', 'The Sprout Kitchen', 'GreenLife Organic Bistro Brickell', 'Fresca Vida', 'Berry Boss Açaî', 'Jersey Boyz Cafe', 'Juice 2U Organic Kitchen', 'Skillets - Bradenton - School House Plaza']"
Bala's Pizza,"[""Nick's Tomato Pie"", 'H2 Kitchen + Pizzeria', 'The Pizza Den Of The Forest', ""Bala's Pizza"", 'Banana River Market', 'La Pizza Nostra', 'Joe Daddys Pizza', 'Nexus Pizza', ""Mama Sue's Pizza and Wings"", 'Eagles Pizza']"
Ballantraeclubhouse,"['Skip’s Deli', 'Ballantraeclubhouse', '22 South Food Hall', 'Little Hall Express', ""King's Corner"", 'Cafe Delanie', ""Tailwind's"", 'Mighty Wings', 'Golden Spoon Diner & Seafood', ""Daddy O's Patio Fine Dining Restaurant""]"
Bamboo Island Bar,"[""Wolf's Steakhouse"", 'Strike 10 Bowling Sports Lounge Arcade', 'Bold City Grill', 'COBBSTERS KITCHEN & BAR', 'Burger-ish Bar & Grill', 'Bluefire Grille', 'Mainstay Tavern', 'Fiesta Bar&Grill', 'Bitterroot', 'La Estacion American Brasserie']"
Banana Hut,"['Jamaican Jerk Kitchen', 'Awesome Jamaican Jerk and Thing', 'Banana Hut', ""Leroy's"", ""Jackie's Jamaican Pot LLC"", 'Delores Kitchen and Pub', 'Island Fava Delites', 'Ackee Tree Jamaican Restaurant', 'UPTOP JAMAICAN RESTAURANT & LOUNGE', 'Young`s Jamaican Restaurant']"
Banana Leaf Asian Bistro,"['Sake House', 'Viet Kitchen', 'Holi Indian Grill ( A Flavor Of Joy )', 'Bonjour Vietnam', 'A Bit of Saigon', 'Absolute Thai Cafe (Valparaiso)', 'Snay Thai', 'Pho 95 Vietnamese cuisine', 'Chai Thai Cuisine', 'Mini Pita Mediterranean Cafe']"
Banana River Market,"[""Nick's Tomato Pie"", 'H2 Kitchen + Pizzeria', 'The Pizza Den Of The Forest', ""Bala's Pizza"", 'Banana River Market', 'La Pizza Nostra', 'Joe Daddys Pizza', 'Nexus Pizza', ""Mama Sue's Pizza and Wings"", 'Eagles Pizza']"
Bandeja Paisa Latin Restaurant,"[""Valenti's Ristorante"", 'La Fiesta Mexicana', ""Sergio's Restaurant"", 'Another Broken Egg Cafe', 'Zaharias Restaurant', 'Sabor Venezolano Kendall', 'Bella Cuba Restaurant', 'Sweet & Savory: Savanna Commons Cafe', 'Mambos Cuban Café', 'Con Sabor A Cafe']"
Bandeja Paisa Restaurant,"['Cabanas', ""Mike's Pizza of Kendall"", 'Johnny Rockets', 'Snappers Fish & Chicken', 'Bandeja Paisa Latin Restaurant', 'Delicias Colombianas Jax', 'El Pollo Inka Miami', 'La Cruzada Restaurant', 'El Tropico Paleteria Taqueria', 'El Mayoral Sunset Dr']"
Bangkok O-Cha Restaurant,"['Bangkok O-Cha Restaurant', 'Los Amigos (Closed)', 'Jerk Shack Spice & Sport Bar', 'Mega Tropical', 'Lazy Gator Ruskin LLC', 'Clarendon Cuisine Inc', 'Pit Stop Southern BBQ', 'China Gate Restaurant', 'Hometown Desserts', 'Prana']"
Bantam & Biddy,"['La Sorpresa Latina Cuban Cafe', 'Skillets - Bradenton - School House Plaza', 'CNR Cafe & Pizzeria', 'Havana Jax', 'Juancho Carrancho Grill', 'Sunrise Coffee Shop and Wine, Madison Florida', 'El Rincon Colombiano (Pembroke Pines)', 'Juicy Gyros', 'Cafe Vecino and Kiosk Maitland', 'El Floridita Seafood Restaurant - Kendall']"
Bar 1903,"['The Rickenbacker Restaurant', '1601 Lounge', 'Annata Wine Bar', 'Dahlia Lounge', ""Enzo's Hideaway Tunnel Bar"", 'Keg & Cow', 'Players Sports Pub', 'Glory Days Grill', 'Champions Florida Sport Bar & Complex', 'The Clevelander Bar']"
Bar 72,"[""Daddy O's Patio Fine Dining Restaurant"", ""King's Corner"", 'Little Hall Express', ""Tailwind's"", 'International Plaza', 'Golden Spoon Diner & Seafood', 'Ballantraeclubhouse', ""Riley's Coney House"", 'Skip’s Deli', '22 South Food Hall']"
Bar Louie - I-Drive,"['The Winghouse of Wesley Chapel', ""Pete & Shorty's Iowa Bistro"", 'The WingHouse of New Port Richey', 'The Burg Bar & Grill', ""Bongo's Bar and Grill"", 'Simon Parrilla Bar and Grill Longwood', 'Taps Restaurant Bar & Lounge', 'The Standard Cuisine & Cocktails', 'Sports Grill Sunset', ""Roxy's Pub""]"
Bar Tulia Mercato,"['Thrive Cocktail Lounge & Eatery', 'The Tavern at Harmony', 'Justins Caribbean Fusion Restaurant', 'Calle23 Miami', 'R bistro', ""Hammerhead Fred's"", 'Jamaica House Grill.', 'High Dive Seafare & Spirits', 'Off The Hook at Inlet Harbor', 'Wahoo Seafood Grill']"
Barbacoa Mexican Grill,"['Lottawatta Lodge', ""Papa John's Pizza Live Oak"", 'Uber Wings', 'Egg Haven Cafe', 'Yuppie Bowls', ""Fazoli's"", ""Ike's Love & Sandwiches"", 'Fitlife Foods Wesley Chapel', 'Taco Riendo', 'Asian Wok and Grill']"
Barbara’s cafe,"['Nueva Casa Latina Restaurant', 'La Union', 'Springs Grill Pizzeria', 'Rinconcito Miami #5 - Kendall Breeze', 'Guava Grill - Latin Fusion', 'Antojitos Boricuas', 'La Bodegita Del Medio', 'Barrel Express', 'La Zeta Mexicana', 'La Nota Restaurant']"
Barista Cafe,"['Trindy Gourmet', 'Take a Break Cafe 3 @ Meridian 589', ""Stela's Kitchen & Bar"", ""Gusto's Latin Food"", 'Café Colombia Restaurant & Bakery', 'Restaurante Colombiano', 'Happy Vegan Bakers Café', 'Mercado 31 Estacionamiento', 'Esquina Criolla', 'Mangia 850']"
Barrel Express,"['Golden Spoon Diner & Seafood', 'Mighty Wings', ""Susy Q's II"", 'El Valle Hondumex Restaurant', 'Open Seas Paellas Españolas', 'The Pampa Grill', ""Frank's Fry House & Market"", 'Little Hall Express', 'Cafe Delanie', ""Tailwind's""]"
Barrows Carpet & Upholstery Cleaning,"['Barrows Carpet & Upholstery Cleaning', 'First Impressions Carpet, Tile & Oriental Rug Cleaning', 'Steam Vac Inc.', 'Stanley Steemer', 'Serv-U #1 Carpet & Upholstery Cleaning', 'UniClean Carpet & Upholstery Cleaning', 'ServiceMaster 24 Hour', 'iMold Water Damage & Mold Restoration SWFL', 'SERVPRO of Bay County', 'SERVPRO of Central St. Petersburg/Pinellas Park']"
Barrunto Peruvian Restaurant,"['El Huarike Peruano', 'El Carbonero', 'Taqueria El Sol', 'Totoritas Restaurant', 'Little Saigon', 'FIWE Caribbean Cuisine', 'Mr. Fish', 'Chez Solange', 'el tropezon limeño', 'Pollos Rocoto Chifa Polleria- Tampa Florida - Rotisserie Chicken']"
Bascom's Chop House,"[""Maggiano's Little Italy"", ""Manny's Original Chophouse- Haines City"", 'The Cheesecake Factory', 'Jabbers Bar & Grill', 'Spritz City Bistro', ""Oli's Fashion Cuisine"", ""F.M. Don's"", 'Tommy Bahama Restaurant, Bar & Store', 'DB Pickles', 'Restaurant Italiano']"
Basil Thai Restaurant,"[""Khon's on Palafox"", 'Sokai', 'Kazoku Restaurant', 'Genghis Grill', 'Origami Korean-Japanese Restaurant', 'JoTo Thai-Sushi Clearwater', 'Sushi Song', 'Kobe Japanese Steakhouse', 'Zabb Thai & Sushi', 'Lan Lamoon Authentic Thai Bistro']"
Basilico's Italian Restaurant,"[""Connie's-Pizza & Bar Bq"", ""Guido's Pizza Cafe"", ""Aldo's New York Pizza"", 'Oma’s Pizza & Restaurant', ""Cosse's Place"", ""Zoner's Pizza, Wings & Waffles - St. Augustine"", ""Pizza cubana& Italiana Dileo's House LLC"", 'Samuel Mancinos Pizza and Grinders', 'Empire Pizzas & Wings', 'Delicias Pizzeria Cubana']"
Batidos cubanos,"['Benni Jama', 'Mavy Cafeteria', 'El Crucero Restaurant', 'Rincon Caribeno', 'Wimbos', ""J.R's Flamin Grill BAR B Q"", 'El mazorcazo', 'Pastamarket', ""Sabrosito's Cuban Cuisine"", 'La Casa del Sabor']"
BayVista Pizzeria and more,"['Pac Pizzeria', 'Gold Pizza Coffee', 'Okeechobee Prime Seafood', 'La Bambina Pizza', ""Sassano's Pizza"", ""Sam's Pizza"", 'Marina Oyster Barn', ""Sicilia's Pizza - Italian New York Style Pizza"", ""Domenico's 2 (Hialeah Gardens)"", 'Pinecrest Pizzeria - North Miami']"
Bayahibe Restaurant,"['Casa Prado Restaurant Miami', 'El Mayoral Sunset Dr', 'Espresso Cubano', ""Capio's Cafe"", 'Restaurante Latino', 'Big Apple Cafe & Deli', ""Lugo's Grill"", 'Latin House Express Cafe & Grill', 'La pupusa queen', ""Cristy's Cafe""]"
Bayou Market and Cafe,"[""Kelly's Cajun Grill"", 'El Valle Hondumex Restaurant', 'Open Seas Paellas Españolas', 'The Pampa Grill', 'Tipico Hondureño', ""Sabrosito's Cuban Cuisine"", 'Barrel Express', 'Nueva San Salvador Restaurant #1', 'Joe´s Place', ""Mama's Cheesesteak""]"
Be Near Me Restaurant and Bar,"['The Angry Warthog Saloon', ""Gator's Dockside Oviedo"", 'Burger-ish Bar & Grill', 'The Hangout by Two Guys', 'Mugshots Grill and Bar', 'Midtown Caboose', 'Fridays', 'La Estacion American Brasserie', ""Wolf's Steakhouse"", 'Von Stephan Village Bier Garten Restaurant - Cocoa']"
Beach Bistro,"['Goblin Market', 'El Patio Restaurant', 'La Crema Tapas & Chocolate', 'Slate Restaurant', 'Limoncello Ristorante', 'Bizou Brasserie', '13 Gypsies', 'Coast', 'Briarpatch Restaurant', ""Millie's Restaurant & Catering""]"
Beach Bites & Burgers,"['MOOYAH Burgers, Fries & Shakes', 'The Habit Burger Grill', 'Flagler Charbroiled Hamburger', ""Luigi's Pizza"", 'MOOYAH Burgers, Fries & Shakes - Temporarily Closed', ""Moe's Southwest Grill"", 'Pieology Pizzeria Pembroke Pines', 'SHIK-SHAK', 'BurgerFi', ""Tank's Sushi Bistro (Nocatee)""]"
Beach Road Fish House & Chicken Dinners,"['Bojangles', 'Callahan Barbecue', ""Hunt's Oyster Bar & Seafood Restaurant"", 'Imperial Dynasty Chinese and Japanese Cuisine', 'Country Foodly', 'Pho Golden Palace Vietnamese Restaurant', ""Dustin's Bar-B-Q"", 'Wasabi Sushi & Grill', 'Waffle House', 'Hooters']"
Beachcomber St. Augustine,"['Pinchers', 'Tijuana Flats', 'Cantina Laredo', 'Monarcas Authentic Mexican Cuisine Bar & Grill', 'El Melvin Cocina Mexicana', 'Salon Canton Restaurant', ""Rudi's Pizza"", 'B Square Burgers', 'Orale Mexican Restaurant', 'Cucina Italiana Dania Beach']"
Beachside Grille,"['Krispy krunchy @ food express', 'Country Kitchen', 'Beachside Grille', ""Walk-On's Sports Bistreaux - Lakeland"", 'wheel cafe', 'International Plaza', '1st Street Deli (in Seminole Casino Hotel)', ""Ford's Garage"", ""Daddy O's Patio Fine Dining Restaurant"", 'Lakeside Cafe']"
Beast Coast Nutrition,"['Nutrition Solutions', 'Ghost Kitchen Orlando', 'Eat The 80', 'Fit Meals Prep', 'East Delray Delivery Dudes', 'Thirsty Turtle Express', 'Chef Ami Tampa', 'Paleo on the Go', 'Prana', 'Bite Squad']"
Beccofino Italian Bistro,"['El Buen Pan Bakery and Restaurant', 'Latin Creations', ""Maddy D's"", 'Casa Isola Osteria', ""Amelia's 1931"", 'The Black Pearl of Dunedin', ""Petar's Restaurant"", 'Llama Restaurant', 'Nutritious You - Plant-Based Café', 'Cascade Pool Cafe at The Biltmore Hotel Miami']"
Beech,"['The Standard Cuisine & Cocktails', 'The Pub @ Magnolia Point GCC', 'The Burg Bar & Grill', ""Pete & Shorty's Iowa Bistro"", ""Bongo's Bar and Grill"", 'H20 Bar & Grill', 'Cruisers Grill', 'JC Tin Cup Grill', 'Grayton Bar & Grill', 'Bar Louie - I-Drive']"
Beef 'O' Brady's,"['Smokey Bones', ""Duffy's Sports Grill"", 'Fish City Grill', 'Monarcas Authentic Mexican Cuisine Bar & Grill', 'The Licking Sunrise', ""CJ's Crab Shack"", 'V Pizza & SideCar - Gainesville', 'V Pizza & Flask&Cannon - Jax Beach', 'Pinchers', 'Quarterdeck Restaurants']"
Belinda Take Out,"[""Nana's Food For You"", ""Marlene's Caribbean Take-Out Restaurant - Lakeland Florida Location"", 'Drunken Wok', 'Silverspoon Takeout', 'Between The Bunz', 'Jamaica Gardens Restaurant', ""Randy's Take-Out Restaurant"", ""Cal's Kitchen"", 'Jerk City Jamaican Restaurant', 'Chinese Food Take Out']"
Belki's Cuban Deli,"[""Belki's Cuban Deli"", 'Cafe Lago', 'Cosme Cafe', 'La Palmerita', 'Javier Cafeteria', 'Jass Cuban Cafe', 'Latin Sabor', 'Cafeteria La Mejor Del Caribe', 'La Deliciosa Cafeteria', 'Marcos Deli']"
"Belkuchy’s Place Restaurant , Cafeteria & Hand Car Wash","['Broadway Cafe', 'Casa Prado Restaurant Miami', 'Pirulin Cafe', 'El Canal Cafe', 'Bayahibe Restaurant', 'Crisp Eatery and Bar', 'Restaurante Colombiano', 'El Castillo Inc', 'Sabor Cubano Cafeteria', 'Delicious Latino Restaurant']"
Belkys International Cuisine,"['El Canal Cafe', 'Take a Break Cafe 3 @ Meridian 589', ""Stela's Kitchen & Bar"", 'Delicious Latino Restaurant', 'Big Apple Cafe & Deli', 'Restaurante Latino', 'La pupusa queen', ""Capio's Cafe"", 'Simply Southern Eatery', 'Fonda Cafe by Bunbury']"
Bella Cuba Restaurant,"[""Sergio's Restaurant"", 'Havana 1957 Cuban Cuisine Espanola Way', 'Foodys Diner and Pizza House', 'Pisco Y Nazca Ceviche Gastrobar', 'Bandeja Paisa Latin Restaurant', ""Valenti's Ristorante"", 'Polo Norte Palm Springs North', ""Pepo's Cuban Cafe"", 'Skidders Restaurant', 'Pinellas Grill']"
Bella Pizzeria,"['Reds BBQ Food Truck', ""Joella's Hot Chicken"", 'Pit Stop Barbecue', 'Soulful Flavors Seffner', 'StreetWise Urban Food', 'Best Friends BBQ', 'The Pie House', 'Annas Pizza Port St Lucie', ""Michael's Ali Coal Fired Pizza Clermont"", 'Asian Wok and Grill']"
Bella's Italian Café,"['Dorona', ""Johnny's Italian Restaurant"", 'Havana 1957 Cuban Cuisine Ocean Drive', 'Cascade Pool Cafe at The Biltmore Hotel Miami', ""Amelia's 1931"", 'Olive Garden Italian Restaurant', 'Hard Rock Cafe', 'Pisco Y Nazca Ceviche Gastrobar', 'Havana 1957 Cuban Cuisine Espanola Way', 'Wahoo Seafood Grill']"
Bellini Italian Bistro,"[""Mike's Pizza of Kendall"", 'Casa Tua Cucina', 'Skidders Restaurant', 'Peacock Garden', 'Bandeja Paisa Restaurant', 'Limoncello Ristorante', ""Carmine's La Trattoria Restaurant"", 'Monarcas Authentic Mexican Cuisine Bar & Grill', 'Paddlefish', ""Valenti's Ristorante""]"
Bellini's Eatery,"[""Ole' Skool Mondex Grill and Bar"", 'Crisp Eatery and Bar', 'The Cheese Course', 'Tin & Taco', 'Copas Restaurant Bar & Lounge', 'OpenSeas Cafe', 'Taco Craft Taqueria & Tequila Bar', 'Fire Kitchen and Bar', 'El Rincon Colombiano (Pembroke Pines)', 'El Triunfo Salvadorian Cuisine']"
Belly Fuel Restaurant,"['¡Ole!', 'Antojitos To Go by Annies Bakery', 'The New Lighthouse Caffe', 'Skillets - Bradenton - School House Plaza', 'Lemon Cafe', 'Los Hornos Restaurant', 'Casa Isola Osteria', 'El Buen Pan Bakery and Restaurant', ""Amelia's 1931"", 'La Sorpresa Latina Cuban Cafe']"
Belly's Crab Corner,"['F&D Woodfired Italian Kitchen', 'Lowdermilk Beach', 'Martorano hard rock', 'The King Crab Shack (West Palm Beach, FL)', 'The Butcher Block Kitchen', 'Las Reinas#3 Restaurante', 'Winter Springs Seafood Station', ""Lorene's Fish House"", 'Flock and Stock', 'Creole Bakery Restaurant']"
Ben Allen's Backyard Grill & Pub,"['El Rancho de los Frijoles Krome', 'Mall', 'Hole In the Wall', 'Cafe Delanie', ""Daddy O's Patio Fine Dining Restaurant"", 'Golden Spoon Diner & Seafood', 'Mr. Shrimp', 'Salty Bagel and Grill', 'Shawarma miami', 'Av Collins Tiendas']"
Ben's Kosher Delicatessen Restaurant & Caterers,"['Ke-uH Restaurant', 'Boston Market', 'Quiznos', 'Pisco Y Nazca Ceviche Gastrobar', 'Egg Haven Cafe', ""Pete's Sushi & Poke"", 'Golden Krust Caribbean Restaurant', ""Lombardi's Seafood Café"", 'Lemon Cafe', 'Villa Pizza']"
Ben's Soft Pretzels,"[""Auntie Anne's"", 'Fitlife Foods Plantation', ""Joseph's Organic Bakery"", 'Fitlife Foods Brandon', 'Family Discount Food Store', 'Jamaica Herbal Health Food Store and Juice Bar', 'Tepuy Market, Juice and Coffee Bar', 'The Paper Company LLC', 'La Brasa Rotisserie and Grill Commercial Blvd.', 'Edward Don & Company']"
Bend the Bao,"[""Brickery's Grill"", ""J's Asian Street Food"", 'Mall', 'Hole In the Wall', 'Asian Express', 'Teriyaki Express', ""Mei's Kitchen"", 'Chinese', ""Daddy O's Patio Fine Dining Restaurant"", ""Wong's Chinese Restaurant""]"
Benni Jama,"['Batidos cubanos', 'La Casa del Sabor', 'Mavy Cafeteria', 'Rincon Caribeno', 'Joe´s Place', ""Sabrosito's Cuban Cuisine"", 'El Crucero Restaurant', ""Little Mike's"", ""Fabio's pizza"", 'La Granja']"
Berry Boss Açaî,"['SoBol Boca Raton', 'Bahia Bowls Boynton Beach', 'China Sky Inc', 'Fire Wok', ""Lolly's Pantry"", 'Fla Juice & Bowl', 'Greek City Cafe', 'The Bowl', '3Natives', 'Inch & Ounces Vietnamese Street Food']"
Best Friends BBQ,"['Gaskins Barbecue & Lobster', 'Bella Pizzeria', 'The Pie House', 'StreetWise Urban Food', 'Jenkins Quality Barbecue', 'Greene Family Bar-B-Cue', ""Tiny'smokehouse"", 'M&E BBQ', ""Willie's Bar-b-que"", ""Poppo's Taqueria Outpost""]"
Best Weekend Bar & Resto,"['El Sabor Ponceño', 'Slicers Hoagies', ""Lorene's Fish House"", ""Cheche's Burger"", '900º Pizza and Pasta', 'Brown Bagger Food Truck', ""Toni's Pizza"", 'Burger Bros Pc', 'Jbs cheesesteaks sunrise', 'Los primos del sabor 809']"
Between The Bunz,"['Drunken Wok', 'Silverspoon Takeout', ""Marlene's Caribbean Take-Out Restaurant - Lakeland Florida Location"", 'Belinda Take Out', 'Tortilleria Mexicana', ""Cal's Kitchen"", ""Nana's Food For You"", 'Chinese Food Take Out', 'Polo Crab House LLC', 'JBANGER SOUL Food']"
Beverly's Oriental Food Market,"['ALADDIN MEDITERANEAN GROCERY', 'Jamaica Herbal Health Food Store and Juice Bar', 'La Placita', 'El gaucho latin market', 'Family Discount Food Store', ""Auntie Anne's"", 'Gold Coast Linen Services', 'The Paper Company LLC', 'Edward Don & Company', 'Bread and Roses Food Cooperative']"
Bice Bistro,"['Trattoria Pasquale North', 'Chart House - CLOSED', 'Meat2 BBQ & Hot Pot', 'Mozzarita', 'Hibachi Grill & Supreme Buffet', 'Shanghai Buffet', 'Los Amigos (Closed)', 'Mega Tropical', 'Lazy Gator Ruskin LLC', 'Jerk Shack Spice & Sport Bar']"
Big Apple Cafe & Deli,"['El Cayuelo - Cuban Cuisine', ""Lugo's Grill"", 'La pupusa queen', ""Capio's Cafe"", 'Big Apple Cafe & Deli', 'Simply Southern Eatery', 'Fonda Cafe by Bunbury', 'Espresso Cubano', 'Latin House Express Cafe & Grill', ""Cristy's Cafe""]"
Big Cory's Country Cooking,"['The Anchor on Sunset Harbor', 'Drawbridge Cafe', 'Vara Grill', 'Chopstix Chinese Restaurant', 'Yumthing Else', 'The Brisket Shoppe', 'Jayveer Deli', 'Super Market Riverview', 'Blues & BBQ', 'Eat In Chips']"
Big Daddy's Sub Shop,"[""Callie Kay's Deli"", ""Merv's Melt Shop"", 'Diced', 'Cheese Dreams llc', 'Hawk n Hog Brandon', ""Huey Magoo's Chicken Tenders - Sunrise"", 'Lakeside Grill', ""Nick's Pizza"", 'Gainesville Soulfood Kitchen', 'K BAB']"
Big O's IslandVybz,"['Caribbean Kitchen 305', 'Arepas Santa Bárbara la Original', 'A Taste Of Miami', 'Grill & wings', 'Strictly Wings', 'Szechuan Taste', 'Rene’s Mexican Kitchen', 'Seven Wonders Bakery', 'Chile Lindo', 'Mi Pueblo Chicken']"
Big Pink,"[""Mel's Diner - Fort Myers"", 'Ace Cafe Orlando', 'Mamas Kitchen', 'La Carreta', 'Largo Family Restaurant', ""Grandma Sally's"", 'Ruby Tuesday', ""Ashley's of Rockledge"", 'Florida Cracker Kitchen-Brooksville', 'Village Inn']"
Big Tasty's,"[""Roo Roo's Diner"", ""Big Tasty's"", ""TC'S DINER"", 'The Grand Havana Kitchen', 'Marys Little T Restaurant', ""Brester's Coney Island"", ""Jazzy's Diner"", ""Jacob B's Family Restaurant"", 'Yolk White & Associates', 'Kendall Kafe']"
Big Tree Barbecue,"['Big Tree Barbecue', ""Mr. B's Real Grill BBQ"", ""T & L's BAR-B-Q AND Soul Food Catering"", 'Fired Up BBQ company', ""Tillman's Pit BBQ ToGo"", 'New Hope Tasty BBQ', 'Petes Gourmet BBQ', 'Wing', 'Dickeys bbq Pit', 'Zambia Smokehouse']"
Big Tunas Bar and Grill,"['Big Tunas Bar and Grill', 'B&B seafood', 'Conchman Conway Llc', 'The Dancing Crab', 'Ice Crab House', 'Fish Market & Restaurant', ""RickDaddy's Eatin' Fresh"", 'Polo Crab House LLC', 'Riverside Express Seafood', 'Casa Del Mar Cevicheria Ecuatoriana']"
Bigote Cafeteria,"['Lechonera El Barrio', 'Mr Junior Latin Food', 'Arepa Santa Barbara', 'El Palacio', 'Country Kitchen', 'Krispy krunchy @ food express', 'Beachside Grille', '1st Street Deli (in Seminole Casino Hotel)', 'Marcelos Bistro, in the Florida Mall Hotel', 'wheel cafe']"
Bilmar Beach Front Cafe,"['El Tropico Cuban Cuisine', 'Raglan Road Irish Pub', 'Rise Kitchen & Deli (in Seminole Hard Rock Hollywood)', 'Roxys Clearwater', ""Edison's Lab Restaurant and Bar"", 'Lakeview Restaurant', ""F.M. Don's"", 'Trevini Ristorante', 'Aura Restaurant', 'La Nueva Banana Restaurant & grill']"
Bite Squad,"['Chef Ami Tampa', 'East Delray Delivery Dudes', 'Thirsty Turtle Express', 'Ghost Kitchen Orlando', 'Paleo on the Go', 'Eat The 80', 'Fit Meals Prep', ""Troni's pizza"", 'Italian Express Pizzeria', 'Jet Fuel Meals']"
Bites,"['Plancha', 'Currents Restaurant', ""CJ's on the Bay"", 'Mediterraneum Street Food', 'Casa Linda', 'La Carpaccieria', 'Zaharias Restaurant', 'Coast', 'El Pollo Inka Miami', 'Olde World Restaurant']"
Bitterroot,"['Bridges Restaurant', 'Restaurant Italiano', ""Oli's Fashion Cuisine"", 'Strike 10 Bowling Sports Lounge Arcade', 'The Library - inspired by the George Peabody Library', ""Waxin's"", 'Bamboo Island Bar', 'Bold City Grill', 'Mainstay Tavern', 'Fiesta Bar&Grill']"
Bizou Brasserie,"['Slate Restaurant', 'Peacock Garden', 'The Grille on Congress', 'Nostalgia Italian Greek Kouzina', 'Spritz City Bistro', ""Ruth's Chris Steak House"", 'Ava', 'Beach Bistro', 'Havana 1957 Cuban Cuisine Espanola Way', ""Rooney's""]"
Blasys Pizzeria,"['El Sabor Ponceño', 'Slicers Hoagies', ""Lorene's Fish House"", ""Cheche's Burger"", '900º Pizza and Pasta', 'Brown Bagger Food Truck', ""Toni's Pizza"", 'Burger Bros Pc', 'Jbs cheesesteaks sunrise', 'Los primos del sabor 809']"
Blaze Pizza,"[""Bala's Pizza"", ""Rino's Pizza"", ""Mama Sue's Pizza and Wings"", 'H2 Kitchen + Pizzeria', 'Florida Pizza Stop', 'Eagles Pizza', 'Origin Craft Beer & Pizza Cafe UTC', 'E & I Pizza', ""Chello's Pizza"", 'Palazzo']"
Blendthy Fresh Bar & Coffee,"['Fresca Vida', 'Lilly Rose Cafe', 'Sanborn Cafe', 'Juice 2U Organic Kitchen', 'Crema Gourmet Espresso Bar - Downtown Miami', 'First Watch', 'UHMAZEBOWLS Cape Coral', 'Cottage Cafe', 'Dr Smood', ""Eli's Cafe""]"
Bleu,"['Tia Cacha Cafe', ""Kelley's Lunch Box LLC."", 'Los Paraguas', 'La Casa del Pan con Lechón', 'Casa Dora Italian Cusine & Pizzeria', 'Sunrise Restaurant', 'Casa Carlos Restaurant', 'Sunnyside Up Breakfast & Lunch', 'Sazón Tropical Cafe', 'Happy Vegan Bakers Café']"
Blevins Auto,"['Sunshine Collision Center, Inc', 'Smash Customs| Classic Car Restoration Shop', ""Mike's Auto Trim & Upholstery"", 'Lucky 13 Customs', 'CarteQ Auto Body', 'South Motors Collision Center', 'B & B Auto Body', 'European Paint & Body II', ""Cliff's Auto Repair - Car Collision Repair, Auto Repair Shop, Car Restoration Services, Affordable Auto Body Repair in Orlando FL"", 'The Vette Smith']"
Blimpie America's Sub Shop,"['Dunkin', 'The Salad Station', ""Leoni's Pizzeria"", ""Marie's Sandwich & Salad Shop"", 'Crispers', 'Broadway Sandwich Shop', 'JOE & THE JUICE', ""McAlister's Deli"", 'PDQ Restaurant', 'Little Greek Fresh Grill']"
Blue Dolphin Restaurant,"['Las Reinas#3 Restaurante', 'F&D Woodfired Italian Kitchen', 'Martorano hard rock', 'Lowdermilk Beach', 'The King Crab Shack (West Palm Beach, FL)', ""Belly's Crab Corner"", 'Super Market Riverview', 'Manheim Orlando Restaurant & Cafeteria', 'El Mata Munchies', 'Jayveer Deli']"
Blue Highway a Pizzeria,"[""Gianni's NY Pizza"", 'Mellow Mushroom St. Augustine', 'Fine Folk Pizza', 'Mellow Mushroom Port Orange', 'Mellow Mushroom Lakeland', 'Piola', 'Boston Market', 'Golden Krust Caribbean Restaurant', 'Hot Head Burritos', 'Aapna Parivaar']"
Blue Marlin Fish House Restaurant & Adventures,"['Copas Restaurant Bar & Lounge', 'OpenSeas Cafe', 'Taco Craft Taqueria & Tequila Bar', 'Crisp Eatery and Bar', 'Caoba Restaurant & Lounge', ""Ole' Skool Mondex Grill and Bar"", ""Hamburger Mary's Wilton Manors"", 'RedTail Clubhouse', 'The Cheese Course', 'Tin & Taco']"
Blue Moon BBQ,"['Blue Moon BBQ', 'Kings Barbque', 'El mazorcazo', 'Wimbos', ""J.R's Flamin Grill BAR B Q"", ""Mr. B's Real Grill BBQ"", 'Fired Up BBQ company', ""Tillman's Pit BBQ ToGo"", 'Big Tree Barbecue', ""T & L's BAR-B-Q AND Soul Food Catering""]"
Blue Turkey Restaurant,"['Jersey Girl Subs', 'Montreal Grill', 'Smoothie Express Miami Shores', 'Pork & Beans', 'Poke Lab Eatery', ""Arden's Kountry Kitchen"", 'Pizza Time Plus', 'Fresh to Order', ""Granny's Kitchen"", ""BD'S Mongolian Grill""]"
